[DEBUG] 22:17:06:511 MONGO/(7839:7839): 164238096
[DEBUG] 22:19:15:758 MONGO/(7883:7883): 142529296
[DEBUG] 22:20:57:914 MONGO/(8048:8048): 141476624
[DEBUG] 22:25:14:600 MONGO/(8157:8157): 147665680
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 5
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 5|8
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 3|1
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 0|7
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 0|0
[DEBUG] 22:25:23:243 MONGO/(8359:8359): 0|0
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 5
[DEBUG] 22:26:07:381 MONGO/(8427:8427): src/tareas
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 5|8
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 3|1
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 0|7
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 0|0
[DEBUG] 22:26:07:381 MONGO/(8427:8427): 0|0
